Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk,AI_Adoption_Score,Job_Level_Score,Education_Score,Company_Size_Score,Layoff_Risk_Score,Automation_Exposure_Index,Human_Creative_Protection_Index,AI_Intensity_Index,Experience_Band,Age_Band,Risk_Binary
37,Master's,6,Finance,Auditor,Medium,Entry,46,56,57,Medium,4,11,35,29,Medium,1,0,2,1,1,41.922150882825036,56.5,42.22222222222222,4-7,31-40,Not_High
56,Bachelor's,6,Healthcare,Health Analyst,Small,Mid,63,26,38,Medium,4,7,28,17,Medium,1,1,1,0,1,45.01538255751739,32.0,37.77777777777778,4-7,51-60,Not_High
48,Master's,16,Retail,Store Manager,Large,Mid,12,92,77,Low,0,0,8,7,Low,0,1,2,2,0,1.7188336008560727,84.5,0.0,15+,41-50,Not_High
26,Master's,1,Logistics,Warehouse Manager,Large,Mid,56,44,94,Medium,5,9,42,8,Medium,1,1,2,2,1,49.36463349384697,69.0,43.333333333333336,0-3,21-30,Not_High
40,PhD,5,Manufacturing,Operator,Medium,Entry,66,24,94,Medium,5,9,35,12,Medium,1,0,3,1,1,50.37453183520599,59.0,43.333333333333336,4-7,31-40,Not_High
56,Bachelor's,13,Retail,Inventory Analyst,Medium,Mid,50,46,82,Low,0,0,33,0,Medium,0,1,1,1,1,20.05082932049224,64.0,0.0,8-15,51-60,Not_High
33,Master's,4,Education,Teacher,Large,Senior,78,26,89,Medium,3,9,52,27,Low,1,2,2,2,0,53.72124130551097,57.5,36.66666666666667,4-7,31-40,Not_High
21,Bachelor's,0,Retail,Store Manager,Large,Entry,35,68,91,Low,0,4,24,0,Medium,0,0,1,2,1,13.058453718566076,79.5,4.444444444444445,0-3,21-30,Not_High
55,Bachelor's,10,Education,Academic Coordinator,Medium,Senior,32,63,72,Low,1,0,19,2,Low,0,2,1,1,0,13.261102193686463,67.5,3.3333333333333335,8-15,51-60,Not_High
24,Bachelor's,1,Manufacturing,Production Supervisor,Medium,Mid,81,18,73,Medium,3,7,74,22,High,1,1,1,1,2,60.79387372926699,45.5,34.44444444444445,0-3,21-30,High
25,Bachelor's,4,Retail,Inventory Analyst,Large,Mid,84,41,70,Medium,3,10,65,22,High,1,1,1,2,2,59.15864098448368,55.5,37.77777777777778,4-7,21-30,High
50,Bachelor's,13,Education,Teacher,Small,Mid,47,61,94,Low,2,1,39,2,Low,0,1,1,0,0,25.843365436062065,77.5,7.777777777777778,8-15,41-50,Not_High
49,Bachelor's,0,Logistics,Warehouse Manager,Large,Mid,86,13,62,Medium,2,11,66,27,High,1,1,1,2,2,57.53477795612627,37.5,35.55555555555556,0-3,41-50,High
31,High School,8,Logistics,Supply Chain Analyst,Medium,Entry,65,44,46,Medium,2,6,30,23,High,1,0,0,1,2,41.17241840556447,45.0,30.0,8-15,31-40,High
25,High School,2,Manufacturing,Production Supervisor,Medium,Mid,21,65,65,Low,0,2,10,8,Medium,0,1,0,1,1,4.95920278223649,65.0,2.2222222222222223,0-3,21-30,Not_High
42,High School,0,Retail,Inventory Analyst,Large,Senior,70,31,71,Medium,4,12,40,26,High,1,2,0,2,2,50.46950240770466,51.0,43.333333333333336,0-3,41-50,High
48,Master's,5,Manufacturing,Operator,Small,Entry,16,62,22,Low,2,3,11,1,Medium,0,0,2,0,1,8.752006420545747,42.0,10.000000000000002,4-7,41-50,Not_High
55,Bachelor's,13,Telecom,Operations Analyst,Small,Mid,37,56,63,Low,0,0,26,3,Low,0,1,1,0,0,14.215489566613163,59.5,0.0,8-15,51-60,Not_High
30,High School,8,Telecom,Support Specialist,Medium,Mid,17,97,59,Low,0,4,16,5,Low,0,1,0,1,0,5.454119850187265,78.0,4.444444444444445,8-15,21-30,Not_High
54,Bachelor's,8,Retail,Store Manager,Medium,Entry,42,55,94,Low,2,5,39,7,Medium,0,0,1,1,1,24.355270197966828,74.5,12.222222222222223,8-15,51-60,Not_High
23,PhD,0,Logistics,Supply Chain Analyst,Small,Entry,84,22,23,High,10,23,63,21,High,2,0,3,0,2,88.5968432316747,22.5,92.22222222222221,0-3,21-30,High
28,Bachelor's,7,IT,Software Engineer,Large,Entry,35,57,39,Low,0,3,27,0,Medium,0,0,1,2,1,13.901150347779561,48.0,3.3333333333333335,4-7,21-30,Not_High
58,Bachelor's,3,Healthcare,Health Analyst,Medium,Entry,59,43,29,Medium,3,12,29,6,Medium,1,0,1,1,1,41.6058052434457,36.0,40.00000000000001,0-3,51-60,Not_High
57,High School,18,Healthcare,Health Analyst,Small,Mid,47,35,68,Low,0,5,24,1,Low,0,1,0,0,0,16.62988228999465,51.5,5.555555555555555,15+,51-60,Not_High
31,Bachelor's,9,Telecom,Operations Analyst,Large,Entry,23,75,79,Low,0,2,21,9,Low,0,0,1,2,0,8.644328517924023,77.0,2.2222222222222223,8-15,31-40,Not_High
45,Master's,7,Finance,Financial Analyst,Medium,Mid,48,57,57,Low,0,0,30,8,Medium,0,1,2,1,1,18.612894596040665,57.0,0.0,4-7,41-50,Not_High
22,Bachelor's,1,Telecom,Operations Analyst,Small,Senior,16,84,70,Low,2,4,11,0,Low,0,2,1,0,0,8.752006420545747,77.0,11.111111111111112,0-3,21-30,Not_High
59,Bachelor's,6,Logistics,Dispatcher,Large,Mid,36,79,93,Low,0,5,26,5,Low,0,1,1,2,0,13.917870518994114,86.0,5.555555555555555,4-7,51-60,Not_High
56,Bachelor's,20,Manufacturing,Operator,Medium,Mid,77,13,64,Medium,4,8,64,8,High,1,1,1,1,2,59.294408774745854,38.5,38.88888888888889,15+,51-60,High
47,Bachelor's,15,IT,ML Engineer,Small,Senior,47,48,65,Low,2,3,36,9,Low,0,2,1,0,0,25.00066880684858,56.5,10.000000000000002,8-15,41-50,Not_High
38,Master's,7,Finance,Auditor,Large,Mid,77,23,24,Medium,3,5,52,13,High,1,1,2,2,2,53.42362225789192,23.5,32.22222222222222,4-7,31-40,High
49,High School,11,Manufacturing,Operator,Large,Senior,10,100,40,Low,2,0,6,4,Low,0,2,0,2,0,5.561797752808989,70.0,6.666666666666667,8-15,41-50,Not_High
46,Bachelor's,3,Education,Teacher,Large,Entry,91,0,91,Medium,4,7,49,26,High,1,0,1,2,2,59.24759229534511,45.5,37.77777777777778,0-3,41-50,High
27,High School,6,Manufacturing,Quality Engineer,Small,Entry,38,80,47,Low,1,4,20,0,Medium,0,0,0,0,1,15.32771535580524,63.5,7.777777777777778,4-7,21-30,Not_High
40,Master's,19,Healthcare,Medical Assistant,Medium,Entry,80,3,20,Medium,4,12,51,23,High,1,0,2,1,2,56.53558052434457,11.5,43.333333333333336,15+,31-40,High
50,Bachelor's,0,IT,ML Engineer,Small,Mid,49,34,66,Medium,3,6,33,26,Medium,1,1,1,0,1,39.7532102728732,50.0,33.33333333333333,0-3,41-50,Not_High
50,Bachelor's,3,Manufacturing,Operator,Large,Senior,41,61,29,Low,0,3,38,1,Medium,0,2,1,2,1,18.776752273943288,45.0,3.3333333333333335,0-3,41-50,Not_High
28,High School,2,Healthcare,Health Analyst,Small,Entry,68,57,86,Medium,4,5,57,19,High,1,0,0,0,2,54.64954521134297,71.5,35.55555555555556,0-3,21-30,High
55,Master's,13,Finance,Auditor,Large,Entry,46,44,73,Low,1,1,39,6,Medium,0,0,2,2,1,23.045746388443018,58.5,4.444444444444445,8-15,51-60,Not_High
41,High School,4,Manufacturing,Operator,Small,Mid,69,36,88,Medium,5,14,44,6,High,1,1,0,0,2,53.795478865703586,62.0,48.88888888888889,4-7,41-50,High
32,Master's,6,Retail,Store Manager,Medium,Senior,33,77,81,Low,1,0,15,1,Low,0,2,2,1,0,12.435125735687533,79.0,3.3333333333333335,4-7,31-40,Not_High
34,Master's,13,Education,Teacher,Medium,Entry,82,19,68,Medium,3,14,68,17,High,1,0,2,1,2,59.406099518459065,43.5,42.22222222222222,8-15,31-40,High
57,Bachelor's,9,IT,ML Engineer,Medium,Mid,85,5,46,High,5,19,65,26,High,2,1,1,1,2,76.95626003210273,25.5,71.11111111111111,8-15,51-60,High
37,Bachelor's,16,Education,Academic Coordinator,Medium,Mid,73,30,84,Medium,4,9,63,8,Medium,1,1,1,1,1,57.823033707865164,57.0,40.0,15+,31-40,Not_High
49,Bachelor's,1,IT,Software Engineer,Medium,Entry,63,29,74,Medium,2,12,37,5,High,1,0,1,1,2,42.54347244515784,51.5,36.66666666666667,0-3,41-50,High
40,High School,9,Education,Academic Coordinator,Large,Mid,82,14,92,Medium,5,5,59,5,High,1,1,0,2,2,61.87800963081862,53.0,38.88888888888889,8-15,31-40,High
60,Master's,1,Retail,Store Manager,Large,Mid,21,74,83,Low,0,4,20,0,Low,0,1,2,2,0,7.768191546281433,78.5,4.444444444444445,0-3,51-60,Not_High
32,Bachelor's,6,Retail,Inventory Analyst,Large,Mid,30,78,89,Low,0,1,24,8,Low,0,1,1,2,0,11.570358480470839,83.5,1.1111111111111112,4-7,31-40,Not_High
46,High School,9,Finance,Accountant,Medium,Senior,35,61,26,Low,1,2,31,6,Low,0,2,0,1,0,17.52474585339754,43.5,5.555555555555556,8-15,41-50,Not_High
51,Master's,7,Logistics,Supply Chain Analyst,Large,Entry,26,61,79,Low,0,1,21,2,Low,0,0,2,2,0,9.537185660781166,70.0,1.1111111111111112,4-7,51-60,Not_High
60,Bachelor's,0,Healthcare,Nurse,Large,Mid,34,53,77,Low,1,3,15,1,Low,0,1,1,2,0,12.732744783306579,65.0,6.666666666666667,0-3,51-60,Not_High
54,High School,10,Logistics,Dispatcher,Large,Mid,41,84,29,Low,1,0,30,6,Medium,0,1,0,2,1,19.029561262707333,56.5,3.3333333333333335,8-15,51-60,Not_High
21,Bachelor's,0,Healthcare,Medical Assistant,Small,Entry,71,26,56,Medium,2,13,36,28,High,1,0,1,0,2,44.643525949705726,41.0,37.77777777777778,0-3,21-30,High
57,Master's,10,Telecom,Network Engineer,Small,Entry,65,37,81,Medium,2,6,55,29,Medium,1,0,2,0,1,48.19489031567683,59.0,30.0,8-15,51-60,Not_High
24,Bachelor's,3,Retail,Inventory Analyst,Small,Entry,50,66,22,Medium,3,11,36,21,High,1,0,1,0,2,40.893525949705726,44.0,38.88888888888889,0-3,21-30,High
40,PhD,11,Manufacturing,Quality Engineer,Small,Entry,59,42,22,Medium,5,7,46,10,High,1,0,3,0,2,51.3810861423221,32.0,41.111111111111114,8-15,31-40,High
45,High School,16,Education,Academic Coordinator,Large,Entry,38,79,28,Low,0,4,25,1,Low,0,0,0,2,0,14.232209737827715,53.5,4.444444444444445,15+,41-50,Not_High
35,High School,8,Logistics,Supply Chain Analyst,Medium,Entry,27,67,59,Low,0,5,24,2,Medium,0,0,0,1,1,10.677501337613696,63.0,5.555555555555555,8-15,31-40,Not_High
60,Bachelor's,12,Retail,Store Manager,Large,Mid,49,69,92,Medium,2,9,24,14,Medium,1,1,1,2,1,34.72512038523274,80.5,33.33333333333333,8-15,51-60,Not_High
47,Master's,11,Finance,Financial Analyst,Small,Senior,67,43,61,Medium,3,9,36,11,Low,1,2,2,0,0,45.953049759229536,52.0,36.66666666666667,8-15,41-50,Not_High
56,Bachelor's,16,IT,ML Engineer,Small,Entry,36,67,36,Low,0,2,21,5,Low,0,0,1,0,0,12.513376136971644,51.5,2.2222222222222223,15+,51-60,Not_High
27,Bachelor's,4,Retail,Inventory Analyst,Large,Entry,69,36,41,Medium,5,8,33,8,High,1,0,1,2,2,50.705591225254146,38.5,42.22222222222222,4-7,21-30,High
47,Master's,11,Retail,Store Manager,Medium,Entry,91,2,78,Medium,2,11,82,15,High,1,0,2,1,2,63.51725521669343,40.0,35.55555555555556,8-15,41-50,High
35,Master's,10,Finance,Auditor,Small,Entry,55,51,32,Medium,2,11,48,19,High,1,0,2,0,2,43.25240770465489,41.5,35.55555555555556,8-15,31-40,High
49,Master's,13,IT,Software Engineer,Small,Entry,76,19,75,Medium,5,9,50,24,High,1,0,2,0,2,57.56420545746388,47.0,43.333333333333336,8-15,41-50,High
25,PhD,4,Finance,Accountant,Medium,Senior,24,68,44,Low,1,3,12,7,Low,0,2,3,1,0,8.91385767790262,56.0,6.666666666666667,4-7,21-30,Not_High
45,Master's,10,Education,Teacher,Large,Mid,12,92,93,Low,1,0,6,6,Low,0,1,2,2,0,3.657035848047084,92.5,3.3333333333333335,8-15,41-50,Not_High
40,Bachelor's,12,Retail,Sales Associate,Small,Mid,72,14,21,Medium,5,12,71,15,High,1,1,1,0,2,62.272605671482076,17.5,46.666666666666664,8-15,31-40,High
37,Bachelor's,6,Logistics,Supply Chain Analyst,Small,Mid,42,33,60,Low,0,0,32,8,Medium,0,1,1,0,1,17.388978063135365,46.5,0.0,4-7,31-40,Not_High
35,Bachelor's,6,Healthcare,Health Analyst,Medium,Mid,83,17,49,Medium,2,8,52,26,High,1,1,1,1,2,52.70933654360621,33.0,32.22222222222222,4-7,31-40,High
58,Master's,17,Logistics,Supply Chain Analyst,Small,Entry,58,48,94,Medium,4,13,55,22,Medium,1,0,2,0,1,51.1115569823435,71.0,44.44444444444445,15+,51-60,Not_High
28,Master's,7,Logistics,Warehouse Manager,Large,Entry,16,90,25,Low,1,5,11,9,Low,0,0,2,2,0,6.252006420545747,57.5,8.88888888888889,4-7,21-30,Not_High
34,Master's,5,Retail,Store Manager,Small,Senior,54,41,72,Low,2,3,24,1,Low,0,2,2,0,0,23.713215623327983,56.5,10.000000000000002,4-7,31-40,Not_High
39,Bachelor's,14,Finance,Auditor,Large,Senior,12,86,80,Low,0,5,10,0,Low,0,2,1,2,0,2.2806313536650613,83.0,5.555555555555555,8-15,31-40,Not_High
50,Master's,8,Telecom,Support Specialist,Medium,Mid,29,76,79,Low,0,1,26,3,Low,0,1,2,1,0,11.834537185660782,77.5,1.1111111111111112,8-15,41-50,Not_High
54,Master's,19,Telecom,Support Specialist,Medium,Senior,67,47,34,Medium,2,7,45,12,Low,1,2,2,1,0,45.981139646869984,40.5,31.11111111111111,15+,51-60,Not_High
50,PhD,6,Logistics,Dispatcher,Small,Senior,50,43,81,Low,1,0,38,3,Low,0,2,3,0,0,23.95532370251471,62.0,3.3333333333333335,4-7,41-50,Not_High
26,Bachelor's,4,IT,ML Engineer,Medium,Entry,44,43,59,Medium,5,12,43,8,Medium,1,0,1,1,1,46.074103798822904,51.0,46.666666666666664,4-7,21-30,Not_High
51,Bachelor's,9,Finance,Accountant,Large,Entry,29,58,27,Low,1,3,22,8,Medium,0,0,1,2,1,13.210941680042804,42.5,6.666666666666667,8-15,51-60,Not_High
57,Bachelor's,13,Telecom,Operations Analyst,Large,Mid,65,45,80,Medium,5,6,31,18,Medium,1,1,1,2,1,48.953317281968964,62.5,40.0,8-15,51-60,Not_High
57,Master's,8,Education,Teacher,Medium,Mid,87,2,76,Medium,2,11,63,28,Medium,1,1,2,1,1,56.989700374531836,39.0,35.55555555555556,8-15,51-60,Not_High
43,Bachelor's,11,Retail,Store Manager,Small,Entry,54,38,85,Medium,2,11,28,12,Medium,1,0,1,0,1,37.33681112894596,61.5,35.55555555555556,8-15,41-50,Not_High
58,Master's,8,Retail,Inventory Analyst,Large,Senior,83,19,49,High,5,26,79,46,High,2,2,2,2,2,80.29360620652756,34.0,78.88888888888889,8-15,51-60,High
24,Bachelor's,3,Logistics,Supply Chain Analyst,Small,Mid,62,46,81,Medium,5,6,48,22,Medium,1,1,1,0,1,52.83574103798823,63.5,40.0,0-3,21-30,Not_High
29,Bachelor's,7,Telecom,Network Engineer,Small,Mid,13,89,38,Low,0,2,6,0,Low,0,1,1,0,0,1.4546548956661316,63.5,2.2222222222222223,4-7,21-30,Not_High
27,High School,6,Manufacturing,Quality Engineer,Medium,Entry,80,0,52,High,5,30,55,68,High,2,0,0,1,2,72.65917602996255,26.0,83.33333333333334,4-7,21-30,High
58,Bachelor's,9,Retail,Store Manager,Medium,Mid,12,80,85,Low,1,3,10,4,Low,0,1,1,1,0,4.780631353665061,82.5,6.666666666666667,8-15,51-60,Not_High
45,Bachelor's,14,Logistics,Dispatcher,Medium,Mid,53,22,89,Low,1,1,29,4,Medium,0,1,1,1,1,22.320090957731406,55.5,4.444444444444445,8-15,41-50,Not_High
36,Bachelor's,12,Finance,Accountant,Large,Entry,30,72,32,Low,0,3,18,4,Medium,0,0,1,2,1,9.884965222043874,52.0,3.3333333333333335,8-15,31-40,Not_High
47,Master's,7,IT,Software Engineer,Medium,Mid,45,47,23,Medium,3,13,23,15,Low,1,1,2,1,0,35.75374531835207,35.0,41.111111111111114,4-7,41-50,Not_High
30,Bachelor's,6,Retail,Store Manager,Large,Entry,65,40,84,Medium,2,12,51,17,High,1,0,1,2,2,47.07129481005886,62.0,36.66666666666667,4-7,21-30,High
33,Bachelor's,8,Telecom,Support Specialist,Large,Senior,18,87,61,Low,0,1,11,4,Low,0,2,1,2,0,4.347244515783841,74.0,1.1111111111111112,8-15,31-40,Not_High
44,Bachelor's,7,Logistics,Supply Chain Analyst,Small,Mid,64,48,88,Medium,3,5,47,27,Medium,1,1,1,0,1,48.15008025682183,68.0,32.22222222222222,4-7,41-50,Not_High
42,High School,5,Telecom,Network Engineer,Medium,Mid,41,45,76,Low,1,0,24,1,Medium,0,1,0,1,1,17.344168004280363,60.5,3.3333333333333335,4-7,41-50,Not_High
27,Bachelor's,4,Healthcare,Medical Assistant,Medium,Mid,33,83,79,Low,1,1,28,6,Low,0,1,1,1,0,16.08681112894596,81.0,4.444444444444445,4-7,21-30,Not_High
56,High School,15,IT,Data Analyst,Large,Entry,17,68,87,Low,0,0,13,1,Low,0,0,0,2,0,4.611423220973783,77.5,0.0,8-15,51-60,Not_High
47,Bachelor's,2,Manufacturing,Quality Engineer,Medium,Entry,67,41,22,Low,2,1,47,6,High,0,0,1,1,2,34.042937399678976,31.5,7.777777777777778,0-3,41-50,High
28,Bachelor's,2,Manufacturing,Quality Engineer,Small,Senior,40,53,81,Low,1,0,34,6,Medium,0,2,1,0,1,19.85553772070626,67.0,3.3333333333333335,0-3,21-30,Not_High
37,High School,0,Logistics,Supply Chain Analyst,Large,Entry,93,2,84,High,10,20,82,37,High,2,0,0,2,2,96.61249331193152,43.0,88.88888888888889,0-3,31-40,High
52,High School,15,Retail,Sales Associate,Large,Mid,23,74,85,Low,0,4,22,1,Low,0,1,0,2,0,8.925227394328518,79.5,4.444444444444445,8-15,51-60,Not_High
29,Bachelor's,8,Retail,Store Manager,Large,Senior,15,85,99,Low,0,3,10,9,Low,0,2,1,2,0,3.1734884965222045,92.0,3.3333333333333335,8-15,21-30,Not_High
58,Master's,16,IT,ML Engineer,Medium,Senior,39,53,26,Low,1,0,18,4,Low,0,2,2,1,0,15.063536650615303,39.5,3.3333333333333335,15+,51-60,Not_High
47,PhD,3,Education,Teacher,Medium,Mid,34,79,97,Low,1,5,24,3,Low,0,1,3,1,0,15.260834670947029,88.0,8.88888888888889,0-3,41-50,Not_High
26,High School,5,IT,ML Engineer,Medium,Entry,77,28,32,Medium,4,8,46,22,High,1,0,0,1,2,54.23822899946495,30.0,38.88888888888889,4-7,21-30,High
26,Bachelor's,0,Logistics,Dispatcher,Medium,Entry,11,100,30,Low,2,0,6,6,Medium,0,0,1,1,1,5.859416800428037,65.0,6.666666666666667,0-3,21-30,Not_High
55,High School,15,Healthcare,Nurse,Large,Entry,16,80,68,Low,2,0,12,4,Low,0,0,0,2,0,9.032905296950242,74.0,6.666666666666667,8-15,51-60,Not_High
49,Bachelor's,11,Finance,Accountant,Small,Senior,71,51,26,Low,2,4,69,5,Medium,0,2,1,0,1,41.41318887105403,38.5,11.111111111111112,8-15,41-50,Not_High
22,High School,1,Finance,Auditor,Medium,Mid,30,64,58,Low,0,0,27,4,Medium,0,1,0,1,1,12.413055109684324,61.0,0.0,0-3,21-30,Not_High
41,Bachelor's,8,Finance,Auditor,Medium,Mid,64,31,45,Medium,4,13,59,24,High,1,1,1,1,2,54.020866773675756,38.0,44.44444444444445,8-15,41-50,High
41,PhD,2,Retail,Sales Associate,Small,Entry,18,80,77,Low,0,3,14,6,Low,0,0,3,0,0,5.1899411449973245,78.5,3.3333333333333335,0-3,41-50,Not_High
42,High School,15,Finance,Auditor,Medium,Entry,41,74,63,Medium,2,12,35,29,Medium,1,0,0,1,1,35.4340556447298,68.5,36.66666666666667,8-15,41-50,Not_High
21,High School,0,Retail,Inventory Analyst,Small,Entry,14,61,50,Low,1,3,12,3,Medium,0,0,0,0,1,5.937667201712146,55.5,6.666666666666667,0-3,21-30,Not_High
27,Bachelor's,5,IT,ML Engineer,Medium,Mid,17,94,83,Low,0,0,11,8,Low,0,1,1,1,0,4.049625468164794,88.5,0.0,4-7,21-30,Not_High
